,sim_asset_0
0,-0.00047855809
1,-0.0005828302
2,-0.0011688392
3,-0.00097566867
4,-0.00028366025
5,-0.00053557205
6,-0.00067793305
7,-0.00057497047
8,-0.00046387151
9,-0.00095859503
10,-0.00083183471
11,-0.0010568899
12,-0.00081546138
13,-0.00073128524
14,-0.00079025093
15,-0.00058839498
16,-0.00092714824
17,-0.00094599755
18,-0.00099227297
19,-0.0004451126
20,-0.00092723479
21,-0.00033266271
22,-0.0011702557
23,-0.0013523273
24,-0.0013190036
25,-0.00069192265
26,-0.0009355966
27,-0.00097096464
28,-0.00097802747
29,-0.00069901783
30,-0.00051892517
31,-0.0010236982
32,-0.00096077932
33,-0.0011463789
34,-0.0010061362
35,-0.0010621113
36,-0.00071582889
37,-0.00024043725
38,-0.0015223308
39,-0.0010426961
40,-0.0013064767
41,-8.19101e-05
42,-0.00079600916
43,-0.00080662426
44,-0.00035844533
45,-0.001113685
46,-0.0015425281
47,-0.0011382176
48,-0.00058794344
49,-0.00042687356
50,-0.00071939422
51,-0.00072266891
52,-0.00050722776
53,-0.00028732554
54,-0.00061811368
55,-0.00076456541
56,-0.0011710936
57,-0.0009930977
58,-0.001105641
59,-0.00091477834
60,-0.00042468024
61,-0.00085414784
62,-0.0015737736
63,-0.00081656881
64,-0.00055582077
65,-0.00030709935
66,-0.00051499217
67,-0.00085709947
68,-0.001059582
69,-0.0011274825
70,-0.0010427458
71,-0.0010431302
72,-0.0010404903
73,-0.0006274464
74,-0.0011171791
75,-0.00046686497
76,-0.00052448534
77,-0.0010323917
78,-0.00051155843
79,-0.00040639469
80,-0.00055986218
81,-0.00077131469
82,-0.00098572238
83,-0.00035080732
84,-0.0009555721
85,-0.00087964585
86,-0.00055148057
87,-0.00095023807
88,-0.00034324902
89,-0.00089989641
90,-0.00096169508
91,-0.00062759466
92,-0.00086620091
93,-0.0010507828
94,-0.00089545055
95,-0.001072979
96,-0.00091732998
97,-0.00091732998
98,-0.0012754309
99,-0.00081889074
100,-0.00063217802
101,-0.00039507325
102,-0.00074401648
103,-0.00032641479
104,-0.00048543276
105,-0.00080612395
106,-0.0008705652
107,-0.00084165175
108,-0.00081563386
109,-0.0013645417
110,-0.0014918925
111,-0.00086535765
112,-0.00050943217
113,-0.00062356503
114,-0.0010573408
115,-0.00046699423
116,-0.00024428269
117,-0.00097316762
118,-0.00053333286
119,-0.00057318383
120,-0.0011680615
121,-0.00080586858
122,-0.00092097794
123,-0.00085266271
124,-0.00053354605
125,-0.00044339966
126,-0.00091901828
127,-0.00046368603
128,-0.0015204927
129,-0.0014828689
130,-0.0010690777
131,-0.0010247504
132,-0.00072293649
133,-0.00061974233
134,-0.0009609059
135,-0.00065244414
136,-0.00047919618
137,-0.00054703529
138,-0.00074848916
139,-0.00082029979
140,-0.00022056956
141,-0.00058194623
142,-0.0010893878
143,-0.00079635086
144,-0.001024341
145,-0.00079470543
146,-0.00043580583
147,-0.0004649069
148,-0.0010325242
149,-0.0013658134
150,-0.00093277666
151,-0.00047753446
152,-0.00061366962
153,-0.00056912825
154,-0.0010232038
155,0.00027235769
156,-0.001416145
157,-0.00074276429
158,-0.00055910443
159,-0.00062166293
160,-0.00045245059
161,-0.0012301653
162,-0.00088613822
163,-0.00094863792
164,-0.0012825265
165,-0.00052491226
166,-0.001373488
167,-0.00038825473
168,-0.00040436861
169,-0.00093048131
170,-0.00085291006
171,-0.00096746441
172,-0.0010245189
173,-0.0003655731
174,-0.00072273964
175,-0.0011315646
176,-0.00071267962
177,-0.00081720114
178,-0.0011644103
179,-0.00053192679
180,-0.00084346396
181,-0.00071390776
182,-0.0012055143
183,-0.00098834555
184,-0.00029081326
185,-0.00095433394
186,-0.00017748531
187,-0.0003726231
188,-0.00094199077
189,-0.00045584946
190,-0.00082262174
191,-0.00037553656
192,-7.6975243e-05
193,-3.2657474e-05
194,-0.00051408284
195,-0.00069867035
196,-0.00051189543
197,-0.0010336623
198,-0.00061535478
199,-0.00062879465
200,-0.00091586728
201,-0.00046995079
202,-0.001169952
203,-0.00091811206
204,-0.00083585068
205,-0.0007494631
206,-0.0012510528
207,-0.00066961509
208,-0.00086991535
209,-0.0010454708
210,-0.0010177582
211,-0.00080271163
212,-0.0010323367
213,-0.0010022692
214,-0.0005576766
215,-0.00089283633
216,-0.00055427795
217,-0.0009539955
218,-0.00049244302
219,-0.00095468175
220,-0.00058366122
221,-0.00085738016
222,-0.001088164
223,-0.00067698737
224,-0.00080427765
225,-0.00044866964
226,-0.00084720601
227,-0.0006271379
228,-0.0011778865
229,-0.00051501442
230,-0.00075751772
231,-0.00047651519
232,-0.00082101827
233,-0.0011944852
234,-0.00026757667
235,-0.00029322897
236,-0.001172919
237,-0.0012338619
238,-0.0013555276
239,-0.0001714611
240,-0.0012344847
241,-0.00078987454
242,-0.00083860734
243,-0.00075515076
244,-0.00019634969
245,5.0966291e-06
246,-0.00048814008
247,-0.00075758702
248,-0.0010274846
249,-0.0012265275
250,-0.00093445042
251,-0.0010019825
252,-0.00076449119
253,-0.00065423313
254,-0.0014044175
255,-0.00037471302
256,-0.0011226957
257,-0.0010678993
258,-0.00081496917
259,-0.0011034215
260,-0.00048986475
261,-0.00060316187
262,-0.00041393664
263,-0.0011166244
264,-0.00055437297
265,-0.00067256273
266,-0.00093345467
267,-0.00063144223
268,-0.0010338991
269,-0.00055144922
270,-0.00096649278
271,-0.00055272982
272,-0.0011475614
273,-0.0007872134
274,-0.0009925718
275,-0.00093403448
276,-0.00059943721
277,-0.00072720923
278,-0.0010726496
279,-0.0012573376
280,-0.0005242762
281,-0.00113563
282,-0.00033746984
283,-0.00075840158
284,-0.00087958436
285,-0.00066583581
286,-0.00044277909
287,-0.0010043595
288,-0.0010270855
289,-0.0006082714
290,-0.00065956664
291,-0.00095358602
292,-0.0010280045
293,-0.00096992883
294,-0.0011686059
295,-0.000999915
296,-0.00035854948
297,-0.0007024613
298,-0.00063493725
299,-0.0012553536
300,-0.00087427773
301,-0.00024255987
302,-0.0014986706
303,-0.0013071134
304,-0.00061341614
305,-0.00062445336
306,-0.00083470605
307,-0.00072929514
308,-0.00077317044
309,-0.00040027165
310,-0.00036715142
311,-0.00090295657
312,-0.0004122808
313,-0.00075398648
314,-0.0010158199
315,-0.0012586573
316,-0.00064262225
317,-0.0007967412
318,-0.00094374744
319,-0.0006231038
320,-0.00074508192
321,-0.0012576833
322,-0.00096288841
323,-0.0011012832
324,-0.0010607144
325,-0.00057279796
326,-0.00095504441
327,-0.00051121921
328,-0.0003891443
329,-0.0010959697
330,-0.00095962801
331,-0.00081252882
332,-0.00073854579
333,-0.00074562774
334,-0.001026685
335,-0.00091028067
336,-0.0010759041
337,-0.0013924782
338,-0.00037053865
339,-0.00099660499
340,-0.0013537994
341,-0.00018423578
342,-6.0828383e-05
343,-0.00042609886
344,-0.0010233949
345,-0.0011780508
346,-0.00084029642
347,-0.00069188654
348,-0.00055562258
349,-0.00056617253
350,-0.00078490496
351,-0.00058931582
