,sim_asset_0
0,0.010253441
1,0.010176541
2,0.010048537
3,0.010034737
4,0.010098573
5,0.010325219
6,0.010368838
7,0.010010256
8,0.010135375
9,0.0102736
10,0.010357778
11,0.010418202
12,0.010148188
13,0.01022445
14,0.010126108
15,0.010115736
16,0.010026563
17,0.0099555728
18,0.010354397
19,0.010148771
20,0.010259961
21,0.010131949
22,0.01011843
23,0.010116468
24,0.010118034
25,0.010070623
26,0.010048675
27,0.010416626
28,0.010340606
29,0.010288247
30,0.010156163
31,0.01020267
32,0.010242724
33,0.010230318
34,0.010086389
35,0.010123088
36,0.010060632
37,0.010123193
38,0.010017947
39,0.01009301
40,0.010489959
41,0.010026105
42,0.010270436
43,0.01024904
44,0.010264303
45,0.010025263
46,0.010053311
47,0.010158265
48,0.010114671
49,0.0101175
50,0.0099434634
51,0.009927885
52,0.010410352
53,0.010174684
54,0.010381431
55,0.01013791
56,0.010138113
57,0.010062405
58,0.010060229
59,0.010354204
60,0.010050488
61,0.010205871
62,0.010199992
63,0.010199146
64,0.010189353
65,0.010191652
66,0.010268341
67,0.010323205
68,0.0099967412
69,0.010288503
70,0.010188225
71,0.010079419
72,0.010141424
73,0.010289036
74,0.010261803
75,0.010238333
76,0.010320826
77,0.010187783
78,0.010050842
79,0.0099740185
80,0.010045837
81,0.010008213
82,0.010378238
83,0.010414939
84,0.010257066
85,0.010464529
86,0.010237429
87,0.010207188
88,0.010162871
89,0.010228544
90,0.010085542
91,0.010059731
92,0.010051348
93,0.010033705
94,0.010172861
95,0.010214086
96,0.01020472
97,0.01020472
98,0.010242451
99,0.010268177
100,0.010271243
101,0.01004514
102,0.01010338
103,0.01008184
104,0.010244316
105,0.010145123
106,0.010241763
107,0.010211175
108,0.010219564
109,0.01012302
110,0.0099671757
111,0.0099567276
112,0.01016495
113,0.010467539
114,0.010449508
115,0.010358889
116,0.010380743
117,0.010049922
118,0.010354772
119,0.010046354
120,0.010287837
121,0.010066555
122,0.010167526
123,0.010203028
124,0.010118257
125,0.010104939
126,0.010053246
127,0.010247607
128,0.010220086
129,0.01013538
130,0.0099334011
131,0.010107827
132,0.0099919211
133,0.010166429
134,0.010149472
135,0.010009236
136,0.010036873
137,0.010106327
138,0.010109355
139,0.010129938
140,0.01020368
141,0.010111266
142,0.010225523
143,0.010272056
144,0.010303025
145,0.010225431
146,0.010233443
147,0.010272894
148,0.010008942
149,0.010096724
150,0.010227853
151,0.010206703
152,0.009936693
153,0.010258985
154,0.010181284
155,0.010212855
156,0.010107443
157,0.010090778
158,0.009972882
159,0.010231116
160,0.010238772
161,0.010353917
162,0.010142054
163,0.010158035
164,0.010118627
165,0.010119546
166,0.010130088
167,0.010060929
168,0.010104491
169,0.010080396
170,0.010236377
171,0.010198608
172,0.010403864
173,0.010448407
174,0.010268231
175,0.010304102
176,0.0101552
177,0.010144362
178,0.0099650329
179,0.010095695
180,0.010109533
181,0.010119667
182,0.010237417
183,0.010181582
184,0.010096849
185,0.010081277
186,0.010237143
187,0.01029019
188,0.010139867
189,0.010087882
190,0.010181851
191,0.010226259
192,0.010134529
193,0.01013142
194,0.010095717
195,0.010200326
196,0.010216223
197,0.010090765
198,0.010212043
199,0.010096892
200,0.010236178
201,0.010155058
202,0.010280518
203,0.010201398
204,0.010145528
205,0.010171887
206,0.010021202
207,0.010233101
208,0.010461618
209,0.010450845
210,0.010365624
211,0.010341891
212,0.01004502
213,0.010118591
214,0.010186491
215,0.01015705
216,0.010284816
217,0.010200268
218,0.010131293
219,0.01036598
220,0.01036882
221,0.0099786257
222,0.009946486
223,0.0097541316
224,0.0098532304
225,0.01039999
226,0.010147491
227,0.010224602
228,0.01016685
229,0.010171875
230,0.010176638
231,0.010256323
232,0.010294728
233,0.010347314
234,0.010343786
235,0.010007905
236,0.010206403
237,0.010082997
238,0.01017039
239,0.010143352
240,0.010181965
241,0.010276107
242,0.010233228
243,0.010186654
244,0.010197113
245,0.010235031
246,0.010126877
247,0.010183979
248,0.010222974
249,0.010191293
250,0.010240719
251,0.010180882
252,0.010326528
253,0.010099984
254,0.01006854
255,0.010048619
256,0.0099792806
257,0.010149638
258,0.010349003
