,sim_asset_0
0,0.01314663
1,0.01437179
2,-0.0062637515
3,0.036982164
4,0.057701782
5,0.016784293
6,0.042426228
7,0.032788092
8,0.021909278
9,0.022094405
10,0.054854665
11,0.013803272
12,0.041982353
13,0.0047570699
14,0.017373537
15,0.010470744
16,0.015542773
17,0.026174117
18,0.024655816
19,0.041823429
20,0.038023681
21,0.034870507
22,0.040772051
23,0.0099639855
24,0.043208025
25,0.017127229
26,-0.018246271
27,0.027656893
28,0.026068993
29,0.038884974
30,0.019042047
31,0.019066919
32,0.038075326
33,0.049724293
34,0.047366524
35,0.048002273
36,0.02253564
37,-0.0014769483
38,0.016407041
39,0.020276375
40,0.019854318
41,0.030578393
42,0.018950258
43,0.050689353
44,0.038582666
45,0.035118466
46,0.042828326
47,0.032903003
48,0.0012811942
49,0.036795072
50,0.025691282
51,0.020890933
52,0.02087205
53,0.029514357
54,0.0013450436
55,0.031313579
56,0.047340794
57,0.043264098
58,0.029172799
59,0.013456198
60,0.021033115
61,0.063166979
62,0.039531951
63,0.055511347
64,0.054415427
65,0.063592121
66,0.053040623
67,0.0083334978
68,0.0025004419
69,0.00045155536
70,0.042644597
71,0.057334838
72,0.016182749
73,0.01362582
74,0.030338815
75,0.022410053
76,0.017152541
77,0.019616719
78,0.019998552
79,0.029115733
80,-0.0047841078
81,-0.0040916592
82,0.040302148
83,0.062664868
84,0.055826223
85,0.038083065
86,0.021871158
87,0.015576454
88,0.0050209623
89,0.017954569
90,0.034836077
91,0.027755179
92,0.022374076
93,0.024493983
94,0.018448917
95,0.011621112
96,0.049829164
97,-0.001127932
98,-0.0077913884
99,-0.011091209
100,-0.0077852441
101,0.014157726
102,0.0056534575
103,0.015063557
104,-0.018375499
105,-0.00085320995
106,0.0075446142
107,0.010184137
108,0.029453631
109,0.018041794
110,0.0072845046
111,0.01557046
112,0.020048491
113,0.020822696
114,0.024902392
115,0.022923672
116,0.014721623
117,0.028481744
118,0.029058264
119,0.039505702
120,0.034285664
121,0.0047994559
122,0.014763035
123,0.029268187
124,-0.0049982723
125,-0.005143947
126,0.011718607
127,0.0029588006
128,0.0027255338
129,0.012648414
130,0.033093112
131,0.028225201
132,0.0076753951
133,0.0075299918
134,0.020944198
135,0.020078025
136,0.0072458903
137,0.024944125
138,0.023975683
139,-0.00092248322
140,0.023928496
141,0.0076492547
142,0.0017218857
143,0.05263036
144,0.059822676
145,0.028994818
146,0.0295837
147,0.032490225
148,0.0098920223
149,0.021637342
150,0.0019320016
151,0.058469151
152,0.0064326488
153,0.027824058
